"City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date"
"ilulissat,69.22,-51.1,48.2,48.2,87,90,4.1,GL,1595704194"
"dzerzhinsk,56.24,43.46,57.128,60.998000000000005,87,20,1.38,RU,1595704237"
"hilo,19.73,-155.09,76.766,82.4,65,90,3.1,US,1595704199"
"el cobre,20.05,-75.95,87.80000000000001,87.80000000000001,66,20,4.1,CU,1595704513"
"cherskiy,68.75,161.3,72.968,72.968,50,0,1.55,RU,1595704221"
"tambaram,12.93,80.11,80.6,80.6,78,40,4.6,IN,1595704513"
"rikitea,-23.12,-134.97,69.44,69.44,80,12,9.84,PF,1595704202"
"hithadhoo,-0.6,73.08,82.184,82.184,74,100,5.86,MV,1595704215"
"victoria,22.29,114.16,84.70400000000001,86.0,74,100,4.47,HK,1595703969"
"sukhaya buyvola,45.15,43.0,77.0,77.0,29,19,9.0,RU,1595704514"
"arraial do cabo,-22.97,-42.03,82.4,82.4,54,0,6.2,BR,1595704202"
"maceio,-9.67,-35.74,78.80000000000001,78.80000000000001,65,75,7.2,BR,1595704014"
"labuhan,-6.88,112.21,73.79599999999999,73.79599999999999,79,100,2.68,ID,1595704227"
"dikson,73.51,80.55,40.316,40.316,89,0,6.68,RU,1595704203"
"vaini,-21.2,-175.2,71.6,71.6,78,75,4.1,TO,1595704192"
"raudeberg,61.99,5.14,59.288,60.8,67,56,4.1,NO,1595704291"
"nuuk,64.18,-51.72,49.135999999999996,50.0,87,75,5.7,GL,1595704215"
"ponta do sol,32.67,-17.1,71.834,75.2,64,20,7.2,PT,1595704204"
"cabo san lucas,22.89,-109.91,86.612,87.008,55,5,1.5,MX,1595704152"
"bredasdorp,-34.53,20.04,57.2,57.2,82,0,3.6,ZA,1595704200"
"umm kaddadah,13.6,26.69,96.72800000000001,96.72800000000001,26,1,5.06,SD,1595704256"
"katsuura,35.13,140.3,75.992,77.0,94,100,5.3,JP,1595704288"
"venice,27.1,-82.45,89.096,89.99600000000001,62,40,5.1,US,1595704515"
"longyearbyen,78.22,15.64,62.6,62.6,67,0,5.1,SJ,1595704210"
"tuktoyaktuk,69.45,-133.04,50.0,50.0,87,90,5.7,CA,1595704194"
"chimala,-8.85,34.02,58.442,58.442,59,0,2.75,TZ,1595704516"
"soe,-9.86,124.28,58.766,58.766,98,0,2.01,ID,1595704516"
"bluff,-46.6,168.33,50.288,50.288,82,100,8.24,NZ,1595704216"
"ushuaia,-54.8,-68.3,30.2,30.2,92,75,10.8,AR,1595704096"
"busselton,-33.65,115.33,50.647999999999996,51.998000000000005,82,31,3.34,AU,1595704196"
"povorino,51.19,42.25,60.998000000000005,60.998000000000005,67,5,1.65,RU,1595704517"
"cape town,-33.93,18.42,59.09,60.998000000000005,87,40,2.6,ZA,1595703909"
"kavieng,-2.57,150.8,82.02199999999999,82.02199999999999,80,100,6.62,PG,1595704227"
"hermanus,-34.42,19.23,53.996,53.996,94,1,5.74,ZA,1595704218"
"jamestown,42.1,-79.24,78.80000000000001,80.99600000000001,69,75,3.1,US,1595703955"
"whitecourt,54.15,-115.69,62.6,62.6,67,75,6.7,CA,1595704270"
"beringovskiy,63.05,179.32,57.650000000000006,57.650000000000006,65,95,1.49,RU,1595704389"
"chokurdakh,70.63,147.92,72.78800000000001,72.78800000000001,44,100,2.71,RU,1595704195"
"faanui,-16.48,-151.75,77.45,77.45,79,14,8.06,PF,1595704195"
"puerto ayora,-0.74,-90.35,72.59,77.0,65,75,8.7,EC,1595704202"
"nikolskoye,59.7,30.79,59.234,60.8,87,75,2.0,RU,1595704195"
"port alfred,-33.59,26.89,69.69200000000001,69.69200000000001,31,0,4.9,ZA,1595703933"
"nelipyno,48.56,23.03,60.008,66.00200000000001,93,100,0.45,UA,1595704518"
"vardo,70.37,31.11,57.344,57.344,80,0,6.64,NO,1595704239"
"carnarvon,-24.87,113.63,55.400000000000006,55.400000000000006,93,0,2.6,AU,1595704203"
"shimoda,34.67,138.95,71.006,71.006,95,100,2.7,JP,1595704398"
"caruray,10.31,119.01,78.99799999999999,78.99799999999999,78,32,1.27,PH,1595704257"
"elko,41.0,-115.5,85.1,87.80000000000001,14,1,2.6,US,1595704519"
"valencia,39.33,-0.83,79.664,80.006,71,0,2.24,ES,1595704519"
"pevek,69.7,170.31,45.59,45.59,93,2,2.41,RU,1595704193"
"kamenka,51.32,42.77,60.998000000000005,60.998000000000005,61,0,1.77,RU,1595704246"
"albany,42.6,-73.97,87.008,89.006,33,100,3.3,US,1595703969"
"wyndham,37.7,-77.61,93.16399999999999,96.00800000000001,52,49,0.45,US,1595704520"
"hobart,-42.88,147.33,39.776,41.0,86,1,1.5,AU,1595704079"
"poum,-20.23,164.02,73.202,73.202,82,1,8.88,NC,1595704283"
"kapaa,22.08,-159.32,76.712,80.006,94,90,6.7,US,1595704166"
"babstovo,48.12,132.48,63.284,63.284,88,97,1.45,RU,1595704520"
"havre-saint-pierre,50.23,-63.6,71.6,71.6,64,1,6.7,CA,1595704293"
"raul soares,-20.1,-42.45,77.936,77.936,42,0,1.21,BR,1595704521"
"noshiro,40.2,140.02,70.124,70.124,90,100,2.57,JP,1595704323"
"sembakung,3.82,117.25,73.184,73.184,98,85,0.8,ID,1595704521"
"mataura,-46.19,168.86,42.782,42.782,90,100,1.95,NZ,1595704194"
"cairns,-16.92,145.77,63.31999999999999,66.2,82,6,4.1,AU,1595704259"
"la ronge,55.1,-105.28,59.0,59.0,87,90,4.1,CA,1595704321"
"honningsvag,70.98,25.97,60.367999999999995,60.367999999999995,64,13,5.29,NO,1595704522"
"namibe,-15.2,12.15,69.836,69.836,84,95,1.87,AO,1595704209"
"mount gambier,-37.83,140.77,37.4,37.4,100,90,3.6,AU,1595704237"
"kadoma,34.73,135.58,74.48,75.00200000000001,95,100,1.21,JP,1595704522"
"huarmey,-10.07,-78.15,67.44200000000001,67.44200000000001,67,16,4.67,PE,1595704199"
"skierniewice,51.95,20.16,65.372,69.008,93,12,1.04,PL,1595704523"
"vanavara,60.34,102.28,50.900000000000006,50.900000000000006,77,100,1.52,RU,1595704523"
"ust-maya,60.42,134.53,60.476,60.476,51,0,3.41,RU,1595704523"
"negombo,7.21,79.84,77.0,77.0,94,40,2.1,LK,1595704523"
"linqing,36.85,115.71,79.844,79.844,51,100,1.84,CN,1595704524"
"pujili,-0.95,-78.68,61.034,62.6,55,40,9.8,EC,1595704524"
"fort saint james,54.43,-124.25,67.028,67.028,39,0,2.49,CA,1595704524"
"puerto guzman,0.97,-76.59,78.74600000000001,78.74600000000001,84,88,0.43,CO,1595704524"
"lago da pedra,-4.33,-45.17,89.456,89.456,43,79,2.1,BR,1595704524"
"laguna,38.42,-121.42,80.816,82.004,41,5,1.5,US,1595704121"
"bihar,47.15,21.92,68.882,69.80000000000001,83,100,2.1,RO,1595704525"
"vostok,46.49,135.88,55.346000000000004,55.346000000000004,98,59,1.46,RU,1595704239"
"talnakh,69.49,88.4,48.2,48.2,81,0,8.0,RU,1595704228"
"great falls,47.5,-111.3,73.292,73.994,23,1,2.1,US,1595704267"
"vallenar,-28.57,-70.76,79.628,79.628,11,100,1.81,CL,1595704525"
"esperance,-33.87,121.9,57.2,57.2,47,40,5.7,AU,1595703997"
"sao joao da barra,-21.64,-41.05,82.4,82.4,48,0,5.1,BR,1595704197"
"grand gaube,-20.01,57.66,68.0,68.0,64,60,3.58,MU,1595704364"
"bethel,41.37,-73.41,86.864,89.99600000000001,51,40,5.1,US,1595704201"
"turkan,40.36,50.22,77.0,77.0,69,0,2.1,AZ,1595704526"
"imbituba,-28.24,-48.67,60.8,60.8,72,75,6.2,BR,1595704032"
"yerkoy,39.64,34.47,71.06,71.06,53,0,2.52,TR,1595704526"
"kandrian,-6.22,149.55,79.826,79.826,82,100,5.97,PG,1595704526"
"georgetown,5.41,100.34,77.63,78.80000000000001,94,40,2.1,MY,1595704195"
"barrow,71.29,-156.79,33.8,33.8,100,90,1.5,US,1595704205"
"yellowknife,62.46,-114.35,66.11,66.2,55,20,5.1,CA,1595704196"
"ribeira grande,38.52,-28.7,73.4,73.4,88,75,4.6,PT,1595704198"
"atuona,-9.8,-139.03,79.53800000000001,79.53800000000001,74,0,8.61,PF,1595704205"
"yarensk,62.17,49.09,60.08,60.08,86,24,1.36,RU,1595704527"
"souillac,-20.52,57.52,68.0,68.0,56,75,7.2,MU,1595704200"
"saint george,37.1,-113.58,87.80000000000001,87.80000000000001,25,1,1.0,US,1595704193"
"saldanha,-33.01,17.94,59.0,59.0,77,0,0.5,ZA,1595704098"
"saint-philippe,-21.36,55.77,59.0,66.2,55,90,7.2,RE,1595704219"
"grindavik,63.84,-22.43,51.8,51.8,76,75,10.8,IS,1595704200"
"klaksvik,62.23,-6.59,51.8,51.8,87,100,9.8,FO,1595704238"
"gornopravdinsk,60.05,69.9,50.864000000000004,50.864000000000004,74,9,1.7,RU,1595704235"
"yagodnoye,62.55,149.67,59.666,59.666,53,1,1.87,RU,1595704528"
"clyde river,70.47,-68.59,60.8,60.8,51,1,10.8,CA,1595704220"
"qaanaaq,77.48,-69.36,45.518,45.518,56,0,1.01,GL,1595704196"
"punta arenas,-53.15,-70.92,33.386,33.8,55,74,4.6,CL,1595704199"
"general roca,-39.03,-67.58,59.0,59.0,37,100,8.2,AR,1595704529"
"port macquarie,-31.43,152.92,56.66,57.2,100,75,3.1,AU,1595704219"
"encheng,22.18,112.3,80.042,80.042,85,99,2.19,CN,1595704529"
"meulaboh,4.14,96.13,76.964,76.964,87,100,1.56,ID,1595704294"
"lodja,-3.48,23.43,77.95400000000001,77.95400000000001,42,0,0.31,CD,1595704529"
"tasiilaq,65.61,-37.64,44.6,44.6,75,40,4.6,GL,1595704194"
"lancaster,40.25,-76.25,87.782,89.006,63,33,0.89,US,1595704530"
"awbari,26.59,12.78,87.02600000000001,87.02600000000001,16,0,4.16,LY,1595704271"
"geraldton,-28.77,114.6,51.8,51.8,87,0,5.7,AU,1595704228"
"east london,-33.02,27.91,71.50999999999999,71.50999999999999,27,0,3.88,ZA,1595704241"
"krasnoselkup,65.7,82.47,54.95,54.95,70,100,4.12,RU,1595704202"
"tiksi,71.69,128.87,39.776,39.776,96,100,8.32,RU,1595704194"
"samoded,63.61,40.51,57.704,57.704,78,100,0.94,RU,1595704531"
"mehamn,71.04,27.85,62.348,62.348,62,13,5.09,NO,1595704226"
"quelimane,-17.88,36.89,68.0,68.0,82,40,1.5,MZ,1595704253"
"udachnyy,66.42,112.4,52.628,52.628,88,98,7.97,RU,1595704269"
"new norfolk,-42.78,147.06,38.480000000000004,39.992000000000004,91,6,1.2,AU,1595704212"
"kaitangata,-46.28,169.85,44.006,44.006,70,81,1.79,NZ,1595704219"
"gberia fotombu,9.88,-11.17,72.05000000000001,72.05000000000001,94,100,2.52,SL,1595704531"
"yakeshi,49.28,120.73,63.158,63.158,86,27,1.91,CN,1595704388"
"grand forks,47.93,-97.03,86.0,86.0,62,20,2.6,US,1595704532"
"paamiut,61.99,-49.67,46.418,46.418,85,49,1.7,GL,1595704237"
"bengkulu,-3.8,102.27,75.218,75.218,89,2,2.72,ID,1595704106"
"hohhot,40.81,111.65,64.4,64.4,93,20,1.0,CN,1595704532"
"oistins,13.07,-59.53,87.80000000000001,87.80000000000001,70,40,6.7,BB,1595704531"
"mar del plata,-38.0,-57.56,53.528000000000006,53.996,62,19,7.2,AR,1595704231"
"carnduff,49.17,-101.8,84.83000000000001,84.83000000000001,41,52,6.18,CA,1595704533"
"abbeville,50.1,1.83,64.994,64.994,78,100,4.73,FR,1595704533"
"gat,31.61,34.76,78.404,82.004,60,0,3.39,IL,1595704248"
"abha,18.22,42.51,75.794,80.6,83,20,2.6,SA,1595704463"
"zhangjiakou,40.81,114.88,66.218,66.218,71,100,2.22,CN,1595704533"
"castro,-24.79,-50.01,68.774,68.774,59,100,2.84,BR,1595704237"
"kenora,49.82,-94.43,77.52199999999999,78.008,78,75,6.2,CA,1595704444"
"gbadolite,4.28,21.02,72.968,72.968,90,93,0.87,CD,1595704241"
"houma,29.6,-90.72,81.824,82.4,78,75,7.2,US,1595704286"
"mahebourg,-20.41,57.7,68.0,68.0,56,75,7.2,MU,1595704054"
"khatanga,71.97,102.5,40.766,40.766,88,100,4.97,RU,1595704207"
"nieuwpoort,51.12,2.77,63.35600000000001,64.4,93,100,2.1,BE,1595704534"
"san andres,12.58,-81.7,87.80000000000001,87.80000000000001,70,75,4.1,CO,1595704535"
"constitucion,-35.33,-72.42,53.096000000000004,53.096000000000004,63,72,3.12,CL,1595704166"
"russell,32.35,-85.2,91.63400000000001,91.994,52,40,3.23,US,1595704448"
"halifax,44.65,-63.57,79.07,84.992,54,57,1.79,CA,1595704515"
"hobyo,5.35,48.53,77.36,77.36,77,0,10.56,SO,1595704244"
"wajima,37.4,136.9,74.53399999999999,74.53399999999999,85,100,3.03,JP,1595704535"
"rio tercero,-32.17,-64.11,60.008,60.008,26,100,0.89,AR,1595704536"
"suraabad,40.82,49.47,77.0,77.0,69,0,2.1,AZ,1595704536"
"te anau,-45.42,167.72,42.764,42.764,84,98,2.12,NZ,1595704242"
"kodiak,57.79,-152.41,55.400000000000006,55.400000000000006,82,90,2.6,US,1595704193"
"hokitika,-42.72,170.97,46.778000000000006,46.778000000000006,81,94,1.22,NZ,1595704459"
"orocue,4.79,-71.34,73.382,73.382,94,99,3.3,CO,1595704536"
"oriximina,-1.77,-55.87,92.38999999999999,92.38999999999999,40,0,3.54,BR,1595704536"
"hofn,64.25,-15.21,51.025999999999996,51.025999999999996,80,100,6.5,IS,1595704203"
"telenesti,47.5,28.37,77.63,80.99600000000001,36,100,1.0,MD,1595704537"
"nichinan,31.6,131.37,73.994,75.00200000000001,83,75,2.1,JP,1595704301"
"swan hill,-35.34,143.55,42.242000000000004,42.242000000000004,88,53,2.46,AU,1595704537"
"nanortalik,60.14,-45.24,44.78,44.78,83,100,3.95,GL,1595704259"
"old saybrook,41.29,-72.38,86.144,91.004,62,90,3.6,US,1595704537"
"grand haven,43.06,-86.23,81.914,84.2,54,75,4.1,US,1595704408"
"abashiri,44.02,144.27,58.028000000000006,58.028000000000006,85,97,0.6,JP,1595704538"
"noyabrsk,63.2,75.45,54.464,54.464,66,0,3.74,RU,1595704538"
"port elizabeth,-33.92,25.57,62.6,62.6,39,0,3.1,ZA,1595704193"
"lebu,-37.62,-73.65,51.962,51.962,83,100,9.58,CL,1595704208"
"sur,22.57,59.53,88.142,88.142,59,11,6.55,OM,1595704198"
"nieuw nickerie,5.95,-56.98,83.35400000000001,83.35400000000001,75,16,3.14,SR,1595704539"
"upernavik,72.79,-56.15,44.528,44.528,93,100,8.41,GL,1595704230"
"ayagoz,47.97,80.44,70.934,70.934,40,0,5.42,KZ,1595704395"
"pangnirtung,66.15,-65.71,53.6,53.6,81,75,3.1,CA,1595704244"
"fairbanks,64.84,-147.72,53.708,55.994,82,90,1.5,US,1595704086"
"kahului,20.89,-156.47,80.816,87.80000000000001,48,40,6.2,US,1595704228"
"laja,-37.27,-72.7,48.2,48.2,81,90,3.6,CL,1595704540"
"mandalgovi,45.76,106.27,58.676,58.676,85,90,9.18,MN,1595704456"
"los llanos de aridane,28.66,-17.92,73.4,73.4,73,20,8.2,ES,1595704198"
"burnie,-41.07,145.92,39.992000000000004,39.992000000000004,81,0,0.45,AU,1595704250"
"doka,13.52,35.77,70.754,70.754,92,100,3.64,SD,1595704540"
"charlottetown,46.24,-63.13,84.2,84.2,42,75,4.6,CA,1595704337"
"dioknisi,41.63,42.39,73.4,73.4,94,75,4.6,GE,1595704540"
"saskylakh,71.92,114.08,39.92,39.92,78,100,10.43,RU,1595704196"
"hosakote,14.28,77.17,74.96600000000001,74.96600000000001,80,90,5.4,IN,1595704541"
